epoch,acc,loss
0,0.92483332578688859,0.29101462915570786
1,0.96948332642714186,0.12522718430627136
2,0.97431666040420528,0.10329670584443956
3,0.97729999426007275,0.091098947566871841
4,0.97888332806229594,0.083800452373021597
5,0.98024999471704166,0.079995797641978908
6,0.98049999477863314,0.077494011150176331
7,0.98129999513427413,0.075493711158291746
8,0.98114999488592147,0.074209704293931519
9,0.98254999502499896,0.070768656096545354
10,0.98323332876960434,0.069461260508311293
11,0.98298332851330439,0.067766404617701961
12,0.983416662043333,0.066685033477749678
13,0.98354999516010289,0.064914948677582046
14,0.98419999554554627,0.063633125728275633
15,0.98378332870205243,0.063433559290195507
16,0.98414999571045236,0.064663170971286793
17,0.98411666214068727,0.061797597384359686
18,0.98541666243871051,0.060727062170580028
19,0.98521666245063144,0.059231711965333673
20,0.98571666246255241,0.058592553441412745
21,0.98551666262745852,0.058417693250315886
22,0.98471666220227883,0.059895497916049013
23,0.9861499959111214,0.057041134756399936
24,0.98541666239698733,0.059139651652052996
