epoch,loss,mean_absolute_error
0,0.46665112400054931,0.36504621958732603
1,0.33518719840049743,0.24719945812225341
2,0.32647143316268923,0.23992741322517394
3,0.320392906665802,0.23378900301456451
4,0.31542885780334473,0.23067062067985536
5,0.31201820683479309,0.22852307248115539
6,0.31261850881576536,0.23236235189437865
7,0.30860317420959471,0.22860495781898499
8,0.30637321257591249,0.22782806730270386
9,0.30459447026252745,0.22773638463020324
10,0.30327413916587831,0.22747340881824493
11,0.30049389481544497,0.22560421442985534
12,0.29934756803512574,0.22581509494781493
13,0.29841377139091491,0.22735511779785156
14,0.29624929881095885,0.2261504180431366
15,0.29496160674095157,0.2261802954673767
16,0.29288422274589537,0.22547697186470031
17,0.29175948023796083,0.22607244348526001
18,0.29014285516738891,0.22539188575744629
19,0.28867489147186282,0.2256925722360611
20,0.28735739755630491,0.2261009271144867
21,0.28554014801979066,0.22525725650787354
22,0.28417101263999939,0.22495999670028685
23,0.282551282286644,0.2247843667268753
24,0.2813266131877899,0.2250783919095993
25,0.27983566021919248,0.22472140264511109
26,0.27884818911552428,0.22539633321762084
27,0.2772820963859558,0.22533812069892883
28,0.2758577902317047,0.22503330469131469
29,0.27424780321121217,0.22449720537662507
30,0.27281317591667176,0.22443382811546325
31,0.27190139722824097,0.22475874400138854
32,0.27061261582374574,0.22496578133106232
33,0.26921289277076721,0.224706791639328
34,0.2680634422302246,0.2249502650499344
35,0.26662234663963319,0.22520742559432982
36,0.26556546735763548,0.22520198726654053
37,0.26406784462928773,0.22471963393688202
38,0.26293083810806273,0.2249483357667923
39,0.26185023391246798,0.22549917435646058
40,0.26037854862213133,0.22489494752883912
41,0.25940727829933169,0.22517928600311279
42,0.25791370606422426,0.22485428941249846
43,0.25663428854942322,0.22478505170345306
44,0.25536759829521177,0.22449879145622254
45,0.25417165362834931,0.22489430427551269
46,0.25305548512935638,0.22463838541507722
47,0.25177073311805725,0.22482425618171692
48,0.25087190294265749,0.22503964686393738
49,0.2495141797065735,0.22474154973030092
50,0.24798262000083923,0.22439845752716064
51,0.24699865651130676,0.22437031888961792
52,0.24593038845062257,0.22476222288608552
53,0.2447739781141281,0.22484324622154236
54,0.24322308659553526,0.22372192645072936
55,0.24209363019466401,0.22349440908432006
56,0.24149215364456178,0.22452725362777709
57,0.24013575422763825,0.22429749870300292
58,0.23886281049251556,0.22422747957706451
59,0.23784146237373352,0.22435238850116729
60,0.23609577476978302,0.22332471275329591
61,0.2339495301246643,0.22107347464561464
62,0.23224394059181214,0.21979625260829924
63,0.2290355248451233,0.21640259683132171
64,0.22358556616306305,0.20615653538703918
65,0.21739165103435518,0.19331401216983796
66,0.21330149185657502,0.18408301532268523
67,0.2078305904865265,0.17065966773033142
68,0.20695111989974976,0.1723592414855957
69,0.2048842922449112,0.16884396719932557
70,0.20373183596134187,0.16813846135139465
71,0.20177337038516999,0.16709596347808839
72,0.20033398258686066,0.16379859757423401
73,0.19939350569248199,0.16476090836524965
74,0.19807089710235595,0.16339426159858703
75,0.19737016165256499,0.1644947190284729
76,0.1950110363960266,0.16139112591743468
77,0.19500407481193544,0.16256561779975892
78,0.19334423398971556,0.16033304727077485
79,0.19168704795837402,0.15918471932411193
80,0.189624990940094,0.15613004791736604
81,0.18991612672805785,0.15946917486190795
82,0.1887679969072342,0.15868754994869233
83,0.1869886109828949,0.15748012614250184
84,0.18760180830955506,0.16106518602371217
85,0.18582275593280792,0.15959803533554076
86,0.18496087384223939,0.15856313180923462
87,0.18354127061367034,0.15711980664730071
88,0.18254013860225676,0.15609066426753998
89,0.18169881165027618,0.15694730579853058
90,0.1810181291103363,0.15773137927055358
91,0.18003785300254821,0.15583728611469269
92,0.17968936848640443,0.1585722782611847
93,0.17849292767047881,0.15806934309005738
94,0.17742452538013459,0.15863143563270568
95,0.17612669086456298,0.15586392855644227
96,0.17532568550109864,0.15591282749176025
97,0.17438100612163543,0.15522534626722337
98,0.17319452345371247,0.1556651656627655
99,0.17246678876876831,0.15589342641830445
100,0.1716154556274414,0.15605368292331695
101,0.17040831720829011,0.15496395385265349
102,0.16968986201286315,0.15512921273708344
103,0.16852399384975433,0.15365096294879912
104,0.16820678710937501,0.15521956503391265
105,0.16688755941390992,0.15410973548889159
106,0.16611669194698334,0.15383156549930571
107,0.16543952322006225,0.15459037518501281
108,0.16442293500900268,0.15403125607967377
109,0.16346100246906281,0.155024653673172
110,0.16289651274681091,0.15468747329711913
111,0.16144027984142303,0.15254373347759248
112,0.16100915014743805,0.15494808000326157
113,0.16112420809268951,0.15550932562351227
114,0.15930607974529265,0.15323649573326112
115,0.15915978324413299,0.15569049739837645
116,0.15722308802604676,0.15216740202903747
117,0.15647549533843993,0.15216388249397278
118,0.15437228095531463,0.14932886719703675
119,0.1533415243625641,0.14857859897613526
